age,annual_income,credit_score,loan_amount,employment_years,existing_debt,loan_term_years,Grant_Loan
26,1730814,470,182659,9,947841,1,1
48,1993961,708,1744552,16,1468,7,1
37,929532,677,551323,22,286453,1,1
25,1123945,487,689872,6,983848,15,0
51,1368311,529,1808646,6,72255,4,1
25,355683,418,1971575,14,782366,20,0
58,1106323,455,797108,33,868331,10,0
23,832259,764,912318,3,553006,9,1
43,736437,403,986320,13,225409,2,0
57,1610822,801,1839760,13,239967,14,1
57,1569909,474,865864,15,693201,16,0
30,766956,720,1278265,6,991052,1,0
30,1655465,433,1433093,31,738925,2,0
39,1194170,690,1263865,18,964164,7,1
37,812492,800,1381604,1,368697,10,1
41,411830,332,317598,9,836713,20,0
34,1445077,354,1697824,16,375595,1,0
29,1665461,818,1200997,36,247113,13,1
21,365140,311,1336821,11,787199,1,0
33,1992725,827,1666482,5,397111,5,1
24,1389083,672,1051452,21,582314,16,1
21,425160,783,1145687,31,904574,15,1
60,1431897,527,482829,19,567256,17,1
52,761672,606,266750,0,695457,16,0
54,721998,756,170592,5,408548,13,1
48,806217,459,284000,18,145693,11,1
51,1849017,630,830277,17,601158,17,1
28,275388,524,372137,5,542462,17,0
59,755689,803,1227228,32,910789,2,1
46,718727,755,976352,22,885621,13,1
54,1975767,344,558069,22,564790,14,1
23,1892367,513,1701536,25,298818,11,1
32,432601,358,1873215,12,561548,10,0
21,1376410,494,902557,6,960002,3,0
64,1282660,788,1316092,14,722969,17,1
25,1500035,456,429653,26,704824,15,1
50,1883505,525,1160178,25,596093,9,1
50,305111,711,253117,32,195991,10,1
37,1697618,504,287069,14,783924,8,1
43,629667,378,616510,35,185541,13,0
35,1911163,423,1934231,26,17194,18,0
57,362982,770,1339660,4,682171,5,0
41,498185,517,1340894,1,858809,6,0
34,1576401,815,1688197,32,655152,17,1
22,434386,403,758092,15,518953,11,0
31,1592291,692,1483370,22,568011,20,1
59,1445129,733,1147996,37,231408,16,1
58,661792,630,649792,15,468451,9,1
54,701174,442,1625326,13,242113,2,0
58,984625,839,321604,28,76298,5,1
54,851844,577,673607,25,583526,1,1
38,395246,532,1879538,34,259425,4,0
50,1799024,828,714635,14,629721,4,1
35,446242,389,718629,2,510609,3,0
47,711083,791,1752457,22,107092,9,1
54,217633,498,1221248,28,264291,12,0
58,1212384,661,1557734,33,229991,10,1
53,1066964,740,1433640,32,300589,2,1
44,249104,325,563953,22,709163,11,0
35,1159125,324,1907561,6,192180,10,0
50,1063663,693,467582,2,630458,6,1
62,1316964,806,94036,31,919517,18,1
37,1788878,600,1247017,30,347761,2,1
25,1341154,638,192867,17,213482,2,1
49,889115,566,1168597,6,839934,10,0
24,764678,760,419349,0,641404,16,1
30,1534431,755,1559946,13,824187,12,1
37,1340234,659,735503,31,664093,1,1
30,257993,367,472641,5,795911,8,0
37,405768,711,1973217,38,599649,16,0
40,1406861,790,387283,9,676664,18,1
44,971148,348,810592,6,428910,13,0
25,1222460,401,1628232,25,124232,15,0
54,1699576,515,1758557,33,892018,12,0
26,993853,737,633117,29,81171,8,1
22,942296,458,441180,35,376295,10,1
33,742015,788,1552086,20,86296,14,1
63,1098850,541,851151,16,140562,5,1
63,1777222,304,1652091,32,152324,18,0
31,1575828,660,683718,9,498506,19,1
43,457681,758,450782,11,662222,15,1
36,294018,547,62306,15,241535,6,1
51,1635177,721,628110,31,332103,11,1
31,1542630,314,74042,14,403666,11,1
36,1899752,421,458302,26,318166,20,1
28,429104,576,722747,27,783258,20,0
24,1042186,752,663712,16,848423,18,1
60,393510,689,1281266,1,171999,18,0
24,1358423,593,797410,35,755737,10,1
45,1693293,745,199395,6,311997,2,1
23,654162,509,1640883,12,31826,9,1
52,1024899,601,911858,14,829311,14,0
23,1135129,522,1663727,24,712625,19,0
47,1544613,302,1088457,22,596649,10,0
49,1324905,817,685311,21,240028,4,1
52,1279583,392,1764219,25,340134,6,0
39,1208806,819,985783,32,351931,14,1
41,894892,727,1407719,10,217256,4,1
25,1564973,792,112780,9,40736,15,1
38,1260899,534,859340,24,286674,16,1
48,1097767,460,1815520,36,209124,7,0
62,1360932,630,1486998,37,178130,17,1
42,835232,632,1998010,23,630368,19,0
41,404451,349,1542017,39,467310,19,0
26,1527176,822,1791888,32,336399,17,1
21,755655,791,1199282,16,660246,6,1
25,1303200,571,1791599,23,388742,11,1
61,603322,551,172019,36,224793,16,1
32,1483141,389,421852,1,642911,8,0
46,268008,745,1815317,31,299531,11,1
54,577539,631,229001,23,676935,7,1
34,316492,438,845775,8,636548,19,0
46,272240,656,1961181,3,432859,10,0
47,1575035,573,1198836,16,927604,9,1
29,1186753,318,1269439,16,453572,4,0
46,925947,610,734494,29,401072,15,1
42,472900,453,1079870,39,431385,13,0
50,661227,689,1801037,10,946308,2,0
63,1547098,559,643731,20,691150,2,1
37,335327,424,804471,20,293132,16,0
46,849991,653,369674,17,503195,9,1
56,1042981,572,1538591,28,338592,13,1
21,365575,544,710187,23,956010,3,0
28,1243445,749,146143,9,375574,9,1
55,1748075,546,1816589,16,743264,13,1
35,693948,819,194771,17,460522,2,1
42,1555833,440,1070332,19,929809,8,0
34,1846933,661,1605289,36,665329,9,1
46,429189,307,1058923,17,274548,16,0
48,598465,777,950959,16,402205,2,1
43,451051,651,1870908,8,458521,6,0
34,1136705,794,710673,13,429199,8,1
44,849829,726,1767534,28,765644,5,1
22,913936,338,161362,30,170534,9,1
46,1760354,486,1869381,3,281504,1,0
34,980641,392,1389527,17,872089,9,0
27,471830,385,1823326,19,419503,10,0
23,1754205,343,226298,8,196544,4,1
43,515507,436,633838,12,246512,3,0
63,559687,720,523288,14,764325,10,1
38,1904597,373,315702,26,978817,15,1
58,1424491,847,1042812,14,34160,11,1
55,1868537,811,362257,27,268933,14,1
35,654179,455,1938007,36,158253,6,0
45,1230596,554,1809814,18,669745,12,0
57,242828,470,1003847,25,869029,13,0
48,1035036,469,1156795,25,65641,17,1
30,472670,621,1789122,24,830679,16,0
59,1274168,755,1004470,25,610961,3,1
37,491126,454,739129,25,231322,2,0
59,986639,648,825292,27,267688,11,1
42,1480617,750,1880200,17,771143,9,1
46,1599453,472,286495,31,406491,3,1
64,954296,309,1676082,2,760649,18,0
45,324982,564,331373,1,587536,20,0
37,1505487,737,1960217,32,296694,15,1
33,1317195,546,1650741,18,840125,14,0
40,1933264,845,239073,16,915356,2,1
45,508623,798,409281,32,412857,17,1
24,1750219,428,874516,11,202821,8,1
30,1399751,626,918212,2,780237,10,0
23,370963,703,1060396,25,866453,18,0
61,1390402,658,1246454,34,277749,19,1
38,1067869,316,269707,7,496389,8,0
56,1347116,573,291249,35,50713,8,1
42,1059414,415,1135610,6,413606,3,0
54,1875611,390,221389,35,337547,3,1
28,386994,381,1940476,15,844898,12,0
60,510375,623,1510886,23,528269,17,0
64,229301,413,1811732,0,926997,4,0
39,1471300,357,1109165,24,988722,17,0
62,1762579,453,1155797,9,988822,14,0
61,1244327,703,1354503,15,902063,19,1
57,393783,565,1886665,15,381382,9,0
26,1945259,614,1459020,7,95335,12,1
46,218752,340,691517,28,107441,5,0
54,1215416,404,875963,38,16984,11,1
26,937565,492,626515,27,649868,20,0
57,868755,700,315308,5,897748,3,1
53,417029,577,143078,15,415976,15,1
42,1107669,653,877679,19,656884,14,1
41,1304849,555,809401,15,642742,11,1
26,1507079,398,624887,6,49402,20,0
26,1864742,581,514761,13,91656,8,1
24,1368544,702,1869231,25,65614,4,1
50,577844,408,1608244,25,166963,12,0
31,1849423,498,976921,13,353153,8,1
50,210699,602,1288227,6,433048,6,0
51,1444709,626,1599317,32,307980,15,1
44,734003,453,118207,25,991457,12,1
29,1267745,704,384199,19,930866,16,1
23,718652,761,938698,2,984249,16,0
51,318413,431,1438990,3,955425,20,0
60,1892128,383,161426,25,987938,20,1
57,1516502,698,1609657,10,783077,4,1
56,1992113,408,184794,1,936066,11,1
44,1771564,520,1955450,13,982014,13,0
51,1373057,667,1456352,29,655337,9,1
26,415400,446,1793967,11,862839,4,0
22,1232532,411,1833171,25,794042,12,0
40,759873,793,595726,32,633669,9,1
48,1427512,804,633107,12,486134,13,1
31,592136,774,93856,13,15791,16,1
24,1696906,570,1525368,23,58047,6,1
35,589954,720,1926946,33,494064,10,1
26,238067,666,492244,25,234898,13,0
50,1946621,579,1158383,20,461122,7,1
58,218073,582,886309,27,675025,19,0
22,236035,339,540999,35,70246,19,0
35,1444625,488,1142037,39,196936,17,1
31,433782,463,667762,1,963955,13,0
28,814661,835,395280,8,234955,13,1
46,814805,835,1381155,22,348292,2,1
64,1838314,303,1838053,14,570178,10,0
25,1783246,589,457407,12,400010,13,1
26,926331,732,921158,22,557176,9,1
46,1706404,770,1353306,16,137821,1,1
24,1994291,480,1345308,1,570819,14,0
39,261929,547,470602,19,902084,16,0
40,957771,578,1785657,19,807040,20,0
53,1085296,553,1677650,2,343130,15,0
40,867689,480,325848,11,986715,1,0
32,980965,808,106635,39,346140,17,1
21,487313,625,969627,1,580305,13,0
46,287468,656,1451430,35,497163,15,0
34,1283170,690,815197,13,57676,16,1
58,391703,384,295984,15,535848,16,0
57,1293609,616,1423713,18,447617,2,1
31,1835997,511,1211328,33,50468,17,1
56,1190669,814,1309770,5,687823,11,1
33,1322437,683,278584,12,949167,8,1
63,907650,641,1517208,35,986210,20,0
23,493894,337,182886,21,451989,3,0
53,1813325,810,1177113,17,819555,12,1
26,1715592,719,886690,11,618634,20,1
30,1326798,468,1770444,29,665078,16,0
25,836308,642,135166,39,717997,14,1
43,993153,605,1832852,6,786460,16,0
30,744897,841,425854,31,979874,17,1
64,1903377,836,1396419,18,47599,11,1
22,1452557,411,358479,5,148469,17,1
33,304211,710,1931814,19,240270,19,1
60,1434897,505,914285,26,45406,1,1
22,1690687,484,1817704,36,834089,12,0
40,687689,681,347883,6,67560,15,1
21,1123160,795,609073,4,516394,18,1
57,1060952,678,213052,10,628431,14,1
29,1705532,346,806079,14,520112,1,0
37,1050741,827,1586494,2,144575,13,1
29,1278560,803,1970024,4,54943,15,1
31,1891811,321,1493401,22,75839,7,0
35,1977758,512,116253,36,606962,15,1
44,1254477,609,528697,8,549633,20,1
58,362624,571,665416,14,249495,10,0
55,1470893,501,211081,2,50390,14,1
50,1541775,331,964013,28,750401,6,0
51,893045,742,685254,5,321701,14,1
25,1191469,461,1236430,16,982558,12,0
64,345788,553,673640,25,1906,11,1
34,838387,820,469149,20,957671,20,1
31,735426,779,1962162,7,532249,19,1
29,890658,309,1762243,20,157212,2,0
54,1168616,804,797567,10,905721,20,1
32,223429,735,1860145,37,189773,1,1
55,1823064,410,682585,7,339711,8,1
55,1450956,452,1829810,23,342808,14,0
21,1690036,401,612634,34,81199,9,1
60,972577,490,1210714,13,785216,2,0
42,1493703,380,362916,13,99764,5,1
49,1087700,788,90149,9,998722,8,1
28,1265923,387,398844,11,122357,16,1
31,1920856,493,1781462,37,342873,16,1
61,756110,403,933190,33,421777,13,0
57,1164163,395,1577504,9,312712,20,0
34,1812972,722,178447,16,895781,15,1
50,1115387,497,511693,16,859734,1,0
55,1730891,300,1104271,2,619256,3,0
41,207967,706,1662033,30,160576,6,1
57,1784735,677,884379,0,902548,14,1
25,425371,466,1276872,11,823578,4,0
39,1457100,808,882297,38,564585,18,1
34,1978206,612,730913,3,610682,15,1
46,1413261,717,1465221,12,913605,9,1
24,752467,776,1421130,33,912374,18,1
45,451537,372,1464474,20,461823,3,0
62,1956124,440,403039,21,16939,10,1
45,1041531,561,992320,3,443931,17,0
38,1808126,639,1808962,17,306604,7,1
60,1064645,607,1411425,4,984080,15,0
28,1628127,544,242994,18,199294,1,1
59,1135772,814,1476420,1,930170,11,1
60,671082,636,910346,11,62119,17,1
34,260545,375,1100457,16,690681,5,0
52,1483131,474,359509,9,919283,7,1
58,423894,408,1619720,33,144258,19,0
53,927506,482,1177787,5,409675,15,0
43,1189470,491,1037626,7,218827,3,1
35,1550642,364,1254654,10,267201,15,0
53,1815777,773,1401918,11,978167,5,1
45,1607753,399,990335,8,149805,12,0
37,1615512,843,1985657,1,805589,20,1
53,450497,427,1524235,7,821462,5,0
22,1173181,751,1009820,10,150685,3,1
34,1219658,668,1325779,35,632900,9,1
60,1691633,342,769846,9,377224,9,0
60,901692,718,1759813,20,869460,7,1
59,1733854,787,1138129,19,479498,2,1
26,1106295,377,1605929,7,136260,16,0
26,1404680,569,1496714,35,238178,9,1
23,893206,614,959210,28,259418,13,1
27,1963410,467,710046,11,29680,19,1
28,1293512,638,82766,13,234433,20,1
62,885154,492,1917014,20,977623,17,0
35,1965524,752,605710,21,364446,6,1
49,1450632,582,953022,20,467616,4,1
53,425469,635,324349,29,448934,1,1
50,1276717,689,529806,38,560733,18,1
59,337478,824,1253175,19,530084,19,1
47,1345935,539,1865419,23,833650,9,0
56,1109711,782,1510235,22,694491,13,1
49,1402939,757,1508316,6,401339,8,1
58,1814432,388,1477197,8,663582,13,0
53,821827,394,1126778,0,810506,15,0
57,1819715,751,489358,25,902520,11,1
47,693158,727,898124,37,423041,12,1
53,1827687,450,787744,37,823271,14,1
24,223312,813,70855,21,893544,4,1
42,1160612,675,526963,9,913946,1,1
22,627387,321,1814308,5,592610,4,0
30,634995,612,861527,16,842753,19,0
25,1972764,818,1006228,37,754534,9,1
30,1749107,505,361385,23,634388,10,1
53,998843,674,677407,9,523321,4,1
58,1744613,750,1674867,7,419204,20,1
33,1497638,478,1560171,20,821939,9,0
51,1043441,509,1193413,5,99244,13,0
56,1657214,799,273068,20,491860,12,1
44,635684,763,406427,38,387932,11,1
35,1805235,423,983476,23,357395,12,1
49,257022,412,173805,32,810238,18,0
28,533373,311,1978854,17,130364,12,0
25,1347647,425,859359,27,823333,16,0
49,1430844,630,165657,31,410259,5,1
24,1197858,582,903062,11,468977,20,1
32,558918,439,154428,26,402968,12,1
22,689626,700,172035,9,200065,11,1
47,488859,396,1544139,31,697976,9,0
51,1014037,816,1329356,25,52127,18,1
56,1872717,368,962676,24,992281,3,0
56,755462,417,1840146,10,786885,20,0
46,1127460,358,119518,22,861864,17,0
63,1746236,332,226355,33,909304,14,1
47,1324949,617,1966334,39,611650,1,1
25,1441597,349,717565,22,273120,17,0
40,393718,788,170243,28,638464,8,1
31,794305,318,1057378,30,99122,5,0
30,263037,496,1897756,6,332548,5,0
60,1862682,749,988601,39,344076,9,1
58,730836,751,446308,32,621458,3,1
26,841269,588,1151887,20,339851,19,1
28,1482789,440,72692,1,482863,9,1
43,404366,383,1747818,17,951192,18,0
46,702420,690,729222,32,217912,16,1
63,354249,514,442179,36,772466,1,0
32,1534742,825,271468,33,235851,2,1
46,1879161,514,1440227,19,355933,14,1
33,1238199,702,130152,34,620804,14,1
60,860902,427,513685,17,919521,1,0
38,1470660,776,1627790,23,532245,16,1
45,1738112,703,1058803,7,507750,15,1
53,1309004,328,53969,29,107724,15,1
60,1926676,637,1134309,9,398008,12,1
63,1570073,660,381999,22,973486,16,1
32,1885996,691,91743,10,275381,14,1
64,1436180,517,1753057,1,838018,15,0
56,740340,501,220948,25,999291,15,0
24,1349265,316,943877,35,805684,19,0
25,902436,621,70323,32,403923,8,1
57,646636,817,1621869,12,689566,2,1
28,856031,624,1377148,39,527831,2,1
62,462307,711,608866,24,699495,10,1
48,1552144,617,1709350,3,247541,3,1
51,1751330,381,551793,18,628935,17,1
29,1171248,773,376284,17,559319,8,1
49,663547,767,1880314,36,174001,4,1
34,603850,724,1730189,29,327891,14,1
60,1384446,503,1968837,18,451067,10,0
61,1533140,686,318508,22,317455,1,1
42,710259,397,441011,15,505329,4,0
31,1893439,644,1527141,0,760691,1,1
43,1540020,507,1754627,11,65867,17,1
21,1259325,813,832259,23,88780,17,1
57,828419,465,1718462,33,57196,7,1
41,1929057,321,1820403,7,597993,20,0
46,1548207,453,226968,17,844326,15,1
56,425019,738,107062,4,874072,13,1
43,1675153,594,1326914,25,500653,2,1
21,797218,518,785122,29,276735,19,0
60,1917992,794,719221,12,621535,13,1
35,1539100,529,1326485,18,704253,11,1
41,1017052,319,556995,28,727,15,0
29,1505129,447,138302,2,938863,10,1
29,1697108,407,1686792,25,43822,9,1
30,919401,702,1083224,39,365543,9,1
46,1628080,782,788591,11,112113,20,1
61,1301928,666,615635,1,219606,1,1
55,624127,713,577409,10,392575,17,1
45,1412432,608,133793,27,928433,12,1
46,203191,433,1651028,17,390732,10,0
31,828864,582,337635,12,584379,5,1
58,1444289,372,633510,36,473594,18,0
22,642939,780,728525,21,154591,15,1
27,1252207,651,578036,11,410609,6,1
38,1385820,625,1649417,1,951822,7,0
47,504224,742,1215123,36,205603,17,1
54,420169,399,634668,6,880624,6,0
47,814641,358,94331,25,179006,8,1
37,1662073,807,801393,25,372949,12,1
63,752959,557,1064348,23,998607,14,0
64,1895675,712,1743481,11,159912,12,1
44,1955367,751,875992,15,904521,10,1
45,421972,364,1938873,22,613655,20,0
27,1638454,453,1014190,39,13265,15,1
26,948321,565,650198,8,398640,7,1
44,708679,378,447891,31,413841,9,0
53,621818,614,1034210,14,603910,10,0
49,1992725,547,550201,36,684547,10,1
63,1927408,713,1600813,12,298073,16,1
42,904590,324,1091566,4,324036,7,0
46,1191120,583,1094863,10,675899,5,1
48,1255675,748,1962994,9,318774,3,1
41,1667223,600,781576,12,221711,18,1
27,780780,367,1108644,14,486626,11,0
37,1345298,306,1677324,6,926719,15,0
40,1165188,436,937198,39,170457,20,0
61,754399,463,1669282,27,655313,5,0
40,263936,382,1386926,31,611868,12,0
42,1926550,719,1751044,34,339606,4,1
48,423332,372,1885295,14,637684,15,0
60,925836,536,1120913,35,359181,9,1
27,1571640,345,1250314,20,95310,7,0
21,687510,561,297667,5,156080,10,1
52,263530,475,706521,0,311072,13,0
33,1678016,465,1082321,3,738456,8,0
50,1518508,669,564241,10,89876,12,1
43,1800946,353,937099,25,549264,19,0
39,1862434,718,1450791,36,769302,1,1
52,1873879,806,1196640,22,387128,16,1
50,1980752,640,1006255,28,682986,17,1
49,1396179,426,1467231,20,360400,18,0
49,1074772,708,1581181,26,362681,11,1
50,1867303,666,457974,38,190861,18,1
36,1162361,570,1557572,39,922204,7,0
60,341214,678,1869550,12,633619,18,0
39,839341,372,577466,22,719005,8,0
38,1821219,547,606119,15,251666,6,1
21,603082,342,183248,29,990900,7,0
34,401139,676,1201882,3,269670,10,0
22,1228494,340,214726,39,628151,11,1
48,1221318,469,1877156,15,957004,13,0
50,849714,511,994131,30,199121,9,1
58,788315,792,757910,24,335510,7,1
24,1699698,338,424169,11,997821,9,0
21,1407786,668,750270,25,452333,13,1
28,292601,450,140417,36,56096,3,1
49,1278532,410,763611,32,663270,3,0
59,1486916,779,478638,27,998887,1,1
23,829085,735,1110560,8,857617,20,0
52,1112735,346,1187888,11,50248,2,0
30,1718087,665,242458,4,205728,3,1
30,1909375,368,1181867,27,919455,15,0
39,621486,598,843567,34,982716,6,0
54,803103,595,574608,4,993205,13,0
53,239279,502,1070462,33,79888,1,0
43,571931,360,1585963,33,206354,20,0
48,348702,613,727044,12,240346,19,0
52,1309639,460,1023417,38,618821,1,0
27,973887,630,1973782,13,41954,2,1
49,1502887,827,465105,10,351863,15,1
28,852184,637,1849785,37,664164,14,0
21,1939080,603,1458791,3,748065,19,0
23,645377,802,1802835,32,262739,11,1
44,1738510,637,1353659,6,291736,15,1
43,719089,849,1053466,7,564931,6,1
28,946434,574,684151,36,254793,20,1
57,1457008,463,91777,9,324809,9,1
23,382051,742,96250,14,938327,5,1
53,1346237,618,1958042,37,268116,20,1
48,1143693,803,941372,14,278026,2,1
28,1946536,686,1400850,4,721754,6,1
54,1701352,793,525147,28,464271,18,1
55,1719832,789,1803282,18,679129,19,1
52,323257,372,970041,9,549308,9,0
44,1179062,808,1838698,11,960252,6,1
34,1517630,689,65216,3,364765,14,1
52,1175217,594,396293,30,871806,13,1
63,1807828,668,577297,17,44912,11,1
36,1203171,848,926336,15,12879,12,1
24,1667019,486,1783263,39,558086,19,0
57,1123482,744,195281,35,632079,19,1
41,1003585,662,753803,24,483042,19,1
34,1570485,422,1637893,22,701433,13,0
51,954444,487,1559405,11,337935,14,0
38,1881076,719,784803,33,853415,18,1
27,1811935,551,238069,35,960509,12,1
30,312990,848,1462891,36,487947,4,1
27,1318095,634,164456,2,658210,10,1
53,1258079,391,1423279,8,159472,17,0
43,1440351,829,901324,17,798385,4,1
41,1181883,362,906841,34,630698,12,0
39,1868321,811,869497,33,649443,13,1
39,913226,438,1865335,13,154607,4,0
56,1396553,484,432688,3,730896,10,0
49,1818702,504,1468060,28,468255,3,1
38,1700071,513,83783,14,252712,15,1
22,1862353,555,84152,27,867461,2,1
21,226806,434,1681605,15,4055,17,0
25,1424648,387,1992057,11,300314,6,0
40,615384,506,494718,4,229016,8,0
31,270119,428,1651956,33,762945,3,0
62,1433741,302,198725,0,886408,18,0
22,829720,420,541215,38,290395,1,0
23,670641,684,1853500,31,922036,16,0
43,1079381,337,221541,25,660284,7,1
32,1719603,640,1877000,16,48037,3,1
40,607507,320,1447203,26,995586,4,0
25,1950740,541,958017,23,92115,9,1
57,1063403,754,371898,34,989125,5,1
58,1079903,602,735338,38,864358,19,0
50,1085421,368,1186168,25,472032,15,0
29,284080,428,1455263,37,482870,8,0
54,1501367,495,93169,22,70400,6,1
64,1178836,439,1540079,21,623813,18,0
55,1326370,743,104745,3,363308,19,1
42,492985,582,1733032,8,223457,15,0
64,324447,611,688273,3,748462,7,0
44,320029,834,1088347,6,141774,10,1
37,379830,576,1890551,22,893164,6,0
30,1756518,360,1810328,1,15385,14,0
50,1586992,618,71067,23,795768,17,1
43,761931,351,101033,39,851853,9,0
52,506094,452,95256,30,948729,19,1
37,1436497,610,795993,30,560309,5,1
37,1611220,843,289455,39,921286,7,1
34,883404,688,552264,33,508670,19,1
29,1747261,847,1298993,23,117369,20,1
60,587732,476,989695,25,744990,7,0
22,1788861,661,136803,15,573399,2,1
45,1066183,613,1302390,12,89402,16,1
59,822893,396,168843,14,644062,13,1
29,1041965,512,529809,26,253724,8,1
42,544710,436,603280,3,739945,6,0
63,1998806,305,1311179,15,829151,6,0
24,1918507,408,623091,29,227600,9,1
46,832543,846,1470695,29,704397,4,1
49,984586,338,1817413,35,473319,11,0
54,1211967,724,194282,2,649983,5,1
43,651157,560,526545,21,134585,17,1
57,1306581,725,1124846,21,770543,20,1
31,1465898,386,1553800,11,668695,7,0
26,1438360,764,1867793,20,699500,15,1
38,1816405,375,581740,3,104126,15,0
41,223387,770,1402206,30,735733,14,1
62,1080412,713,1113435,30,601946,13,1
56,1952844,756,994740,22,165912,11,1
61,1334033,584,999403,19,817439,13,1
58,344129,538,1654947,14,974451,9,0
54,1836892,671,1952716,22,631121,10,1
37,1228308,794,1210038,27,118637,4,1
57,1892110,344,1246311,15,907153,17,0
45,517875,700,1978084,36,617508,14,0
58,1928794,546,299737,20,26393,18,1
32,1428337,749,1379773,14,581768,11,1
43,768926,784,192157,16,903675,16,1
62,684814,317,1450465,36,874722,1,0
42,1426134,588,240167,12,479551,7,1
41,1793431,713,643805,18,890695,10,1
47,622955,534,1775089,29,664467,9,0
51,1830668,715,1234895,17,521397,3,1
26,1619541,798,978057,13,792425,14,1
47,1252330,414,1512603,35,93650,15,0
60,1799908,533,1325029,35,758685,2,1
54,267260,839,973639,19,518196,14,1
32,1315488,310,186645,18,904027,16,0
27,456695,505,1610611,6,52066,7,0
30,732994,546,1092092,3,373994,4,0
37,995326,426,1702131,33,829374,18,0
46,546130,446,1236837,1,16138,5,0
41,1068374,417,392221,4,118558,6,1
48,1955548,681,486862,9,258480,7,1
22,229725,711,388767,31,437743,15,0
63,1385574,662,1229580,12,271334,1,1
21,304555,808,1603763,38,878691,4,1
56,461486,436,103687,4,78422,1,1
46,995928,474,904744,9,711058,11,0
49,1829311,588,1206191,9,606603,18,1
41,1088036,780,443120,37,29086,14,1
31,1933742,318,601852,26,934826,11,0
60,1074631,494,1913843,20,125604,10,1
31,765609,629,1029091,7,887246,17,0
56,433103,474,581985,0,119324,4,0
59,1182599,748,654453,27,476785,15,1
60,615872,653,1827858,38,740970,16,0
55,255147,798,984550,13,391065,13,1
54,1864260,440,632111,20,3435,9,1
44,642882,392,583903,29,887937,11,0
42,675584,538,556554,20,839763,11,0
25,500931,504,966931,8,160014,6,0
53,444839,732,650724,16,714995,1,1
56,656162,544,1814455,4,422275,6,0
40,746015,616,1481282,30,712917,13,0
39,1343657,594,907549,39,375601,5,1
55,1633441,581,609070,37,838821,15,1
63,1840920,316,1177109,18,839446,18,0
37,1907017,370,290011,35,426042,20,1
63,889556,568,1287903,32,292441,14,1
54,892095,624,1603744,12,568178,15,0
29,960109,604,122684,13,283466,5,1
46,1328678,750,1548710,32,560027,4,1
22,1197082,306,1880029,28,402935,2,0
29,356570,613,1838220,35,603841,7,0
29,1849729,402,1964566,9,8314,10,0
60,1935592,492,1315197,30,618119,16,1
37,1316271,828,1333871,5,861596,10,1
21,631116,470,1966430,0,369802,18,0
45,721608,836,825723,6,863460,17,1
63,317235,550,1880288,26,822545,13,0
60,1202403,686,997509,20,641462,1,1
62,1689493,506,1891646,27,146429,1,1
45,1881641,840,1922427,15,229937,15,1
59,1267609,715,1656241,22,544653,1,1
55,716409,679,1729108,19,301173,6,1
23,866165,443,1797052,37,263881,13,0
57,891211,324,1004138,24,393186,1,0
64,751120,372,787651,27,729992,5,0
64,1443085,392,1646246,4,609762,9,0
50,1626445,804,1869239,20,340362,17,1
58,345016,635,761423,17,779966,16,0
54,482017,724,203466,5,158571,8,1
32,1813236,798,1952797,28,765387,17,1
39,1338040,663,284318,18,241474,15,1
57,870739,498,422778,32,128692,1,1
64,1365898,712,181936,0,762790,12,1
37,1940687,638,1984580,2,701517,5,1
30,945182,728,1007726,20,973751,6,1
32,647557,438,697952,34,390555,1,0
36,998519,841,726315,39,172106,1,1
44,616978,356,422818,2,294,10,0
39,1233316,531,1202109,24,811028,10,0
28,1069049,734,918277,37,98185,3,1
51,824771,683,1346573,19,797866,17,0
41,723886,493,1168166,33,58382,19,1
37,1782460,833,1488495,20,300242,11,1
43,1483203,817,378615,22,528943,18,1
57,1880403,484,1602268,5,607317,2,0
36,742601,591,531530,12,308372,9,1
26,1970485,634,1614371,22,3771,17,1
28,1363490,415,1404018,8,336243,14,0
45,747993,348,1554900,16,645099,4,0
38,1971300,381,1343512,1,974303,17,0
45,303892,632,1671788,18,848689,17,0
32,1982581,634,459925,18,803990,12,1
35,1512743,831,1108302,6,320580,20,1
46,843942,520,241896,19,107779,18,1
61,1439444,622,1139118,8,649179,3,1
46,1328649,302,463461,16,779085,11,0
52,1837293,505,1133329,26,485319,18,1
30,304195,339,916220,1,778760,4,0
36,916987,358,333460,35,556664,17,0
27,1282424,806,283979,18,480674,18,1
37,1132883,421,658986,16,77924,5,1
43,1538486,778,328104,4,553620,14,1
46,1226630,395,1129367,38,393145,10,0
41,268099,713,1075270,17,571025,15,0
42,1677852,534,337360,6,393056,1,1
27,1212237,361,1425147,16,89031,16,0
34,1317698,555,1997478,38,467186,11,1
35,1920023,647,647578,35,183024,20,1
27,773156,423,621302,39,283135,6,0
29,1891983,781,185150,3,27472,16,1
28,1665017,616,1045893,37,59946,2,1
43,1517363,803,1149095,24,498782,1,1
49,686275,347,1889050,4,944353,9,0
38,498871,708,623340,29,263685,12,1
51,1357655,435,1112965,11,653525,17,0
50,1052129,500,408105,3,2765,15,1
59,1264605,549,1690975,23,305218,19,1
55,1494929,613,1990066,28,364939,10,1
38,607442,667,930147,8,684643,12,0
62,1443294,728,887165,3,625675,14,1
59,1670523,779,1919762,23,775404,9,1
37,1620178,613,922318,13,493377,13,1
34,1096816,799,1256329,4,918273,3,1
51,1317502,654,1712388,17,673166,14,1
44,1909933,784,393150,18,789404,10,1
